offer_id,category,name,errors
2982174060,"Детские игровые палатки, домики (2637)",Детская палатка-вигвам Play tive розовая в звездочки 110x162x110,Тег «vendor» обязательный!
2984406585,"Уход за мебелью, общее (15031503)",Прозрачные силиконовые накладки для мебели PARKSIDE 46 шт,Отсутствуют параметры.
2985232658,Эспандеры (200314),Экспандер для фитнеса Crivit с ручками,Отсутствуют параметры.; Тег «vendor» обязательный!
2985250063,"Термоизоляционные настилы, агроволокно (12514)",Защитная ткань Parkside для растений от мороза 150x500 см,Отсутствуют параметры.; Тег «vendor» обязательный!
2985263965,Кондитерские инструменты и аксессуары (15230431),Набор кулинарных силиконовых кистей ERNESTO силиконовые кондитерские кисти для выпечки 2 шт.,Тег «vendor» обязательный!
2985269227,Декоративная посуда (131404),"Декоративная тарелка подставка из ладомита Livarno Home (эффект мрамора, минимализм)",Тег «vendor» обязательный!
2988461772,Искусственные цветы и ветки (371008),Венчик весенний из белых роз и эвкалипта,Тег «vendor» обязательный!
2988465597,"Измерительные линейки, угольники (14201632)",Линейка Parkside 100 см для распиливания дров с магнитным основанием,Отсутствуют параметры.
2989946192,Аккумуляторы общего назначения (5280501),Бесперебойник UPS для роутера 12800 mAh с Lg батареями,Отсутствуют параметры.; Тег «vendor» обязательный!
2989960769,Аксессуары для кухонных моек (13240224),Ополаскиватель для стаканов и бокалов на кухонную раковину,Отсутствуют параметры.; Тег «vendor» обязательный!
2989987676,"Шлифовальные шкурки, ленты (420407)","Наждачная бумага Parkside зерно 60, рулон 115мм х 4м",Отсутствуют параметры.
2989988636,"Шлифовальные шкурки, ленты (420407)","Наждачная бумага PARKSIDE 115мм x 5м, зернистость 60",Отсутствуют параметры.
2990099127,"Интерьерные аксессуары, общее (371027)",Livarno Home осенний декоративный набор с деревянным подносом,Отсутствуют параметры.
2992776694,"Штопоры, открывалки, укупорщики для бутылок (152904)",Открывалка для банок Livarno Home с эргономичной ручкой,Тег «vendor» обязательный!
2992824442,Пленки для ламинирования (230927),Пленка для ламинирования A3 80 мкм 20 шт глянцевая TRONIC | Пакеты для ламинатора документы фото меню,Отсутствуют параметры.; Тег «vendor» обязательный!
2998669436,Торцевые головки (14200332),Набор ударных торцевых головок 8 шт. Parkside Performance 1/2&quot; PSNP 8 A1,Категория находится в списке стоп-категорий.
3006683712,Датчики качества воздуха (153719),Беспроводной автономный датчик угарного газа со сменной батареей,Тег «vendor» обязательный!
3011118564,Вешалки для одежды (37034006),"Дверная/настенная вешалка Livarno Home, черная, 60 см",Тег «vendor» обязательный!
3011574086,Кухонные весы (15230411),Кухонные весы SilverCrest до 5 кг,Отсутствуют параметры.; Тег «vendor» обязательный!
3015562046,"Полировальные круги, насадки (14201518)","Набор фиброволоконных дисков для полировки Parkside 125мм, 6 шт",Отсутствуют параметры.
3015580101,Декоративная посуда (131404),Декоративная круглая подноса 33 см бронзовый Livarno Home,Отсутствуют параметры.; Тег «vendor» обязательный!
3024015651,Прикладные материалы для шитья (32821),Набор для шитья и рукоделия 29 элементов,Отсутствуют параметры.; Тег «vendor» обязательный!
3040622875,Велосипедные вилки и запчасти к ним (122208),Выжимка цепи велосипеда универсальная,Отсутствуют параметры.; Тег «vendor» обязательный!
3040638256,Оборудование для прочистки и телеинспекции трубопроводов (144504),"Форсунки машины для очистки под высоким давлением, днопоглубления муниципального канализационного трубопровода, 1 шт",Отсутствуют параметры.; Тег «vendor» обязательный!
3040662351,Оборудование для сварки и пайки пластиковых труб (144007),,Отсутствуют параметры.; Тег «vendor» обязательный!
3048159655,Тросики для мототехники (340605),Трос сцепления мотоцикла DY100 Китай,Тег «vendor» обязательный!
3050505825,Колье и ожерелья (36090308),Колье цепочка с перлами белая,Тег «vendor» обязательный!
3050558073,Комплекты бижутерии (36090306),"Набор украшений чокер - колье и браслет с жемчугом с сердцем, цвет металла золото",Тег «vendor» обязательный!
3050583646,Серьги (36090305),Набор сережек с перлами: 12 пар с большими и малыми строчочными жемчугами,Тег «vendor» обязательный!
3050591680,Серьги (36090305),Серьги джекеты бижутерия Жемчужные,Тег «vendor» обязательный!
3050692200,"Сувенирные значки, награды (170708)",Звезда значок шерифа вестерн металл 7х7 см для детей 3+,Тег «vendor» обязательный!
3052916216,"Болты, секретные болты, гайки (341576)",Комплект колпачков на болты крепления диска RCS+ 17 мм 20 шт Черных,Тег «vendor» обязательный!
3062657544,Наклейки для транспорта (12123205),"Наклейки на мотоцикл, скутер, квадроцикл, на колеса CUTNINJA",Тег «vendor» обязательный!
3062668675,Наклейки для транспорта (12123205),"Наклейки на мотоцикл, скутер, квадроцикл, на колеса CUTNINJA белая",Тег «vendor» обязательный!
3062698504,Камеры для мобильных телефонов (5090214),Стекло камеры iPhone X с рамкой Space Gray,Производитель находится в списке стоп-брендов.
3062717861,Подножки для мототехники (340613),"Пружина тормозной ножки Дельта, Альфа, Актив",Тег «vendor» обязательный!
3064751541,Комплектующие и запчасти для инструмента (142001),Алмазные насадки для заточки цепи пилы 2 штуки,Тег «vendor» обязательный!
3064762961,Наклейки для транспорта (12123205),"Наклейка виниловая для машины герб Украины на стекло кузов авто стикеры, 12 х 7 см",Тег «vendor» обязательный!
3065671882,Наклейки для транспорта (12123205),Наклейка вениловая на авто Versache 50*50 см + монтажная пленка,
3069649860,Комплектующие системы выпуска отработавших газов (12021513),Элемент вентиляционной сетки Renault Opel,Тег «vendor» обязательный!
3069671727,Знаки и таблички безопасности (3017),Знак противопожарный синий 85х110 мм Огнетушитель д-8125,Тег «vendor» обязательный!
3069806603,Автомобильные реле и датчики (12020304),Датчик холу ТА-084-СВ-125/150 (YB) 26961,Тег «vendor» обязательный!
3071970309,Свечи (150404),Ароматическая свеча Pomegranate в стеклянной коробке с деревянной крышкой,Тег «vendor» обязательный!
3078759815,Средства по уходу за кожей рук (330618),Глицериновый крем для рук и ногтей Revers Ultra Soft 200 мл,Тег «vendor» обязательный!
3078784796,"Менажницы, доски, посуда для подачи (152215)",Секционная менажница (блюдо для сервировки) на 6 предметов салатовая,Тег «vendor» обязательный!
3081016260,"Менажницы, доски, посуда для подачи (152215)",Секционная менажница (блюдо для сервировки) на 6 предметов голубая,Тег «vendor» обязательный!
3082644751,Зеркала (1534),Зеркало настенное овальное в белой текстурированной рамке 58&times;48 см,Тег «vendor» обязательный!
3082670478,Сигнальная одежда (30812),LED жилет безопасности светоотражающий для бега и велосипеда,Тег «vendor» обязательный!
3083011221,Трафареты и штампы для рукоделия (152515),Набор штампов Doodles Craft Set 20 предметов розовый,Тег «vendor» обязательный!
3083020017,"Менажницы, доски, посуда для подачи (152215)",Секционная менажница (блюдо для сервировки) на 6 предметов серая,Тег «vendor» обязательный!
3084149937,Товары для детского творчества (15011904),Набор для создания мозаичного шкатулки для украшений &quot;minnie&quot;,Тег «vendor» обязательный!
3084169279,"Органайзеры, ежедневники, блокноты (211105)",Стильный планшет формата А5 с блокнотом в линейку фиолетовый,Тег «vendor» обязательный!
3084184348,"Органайзеры, ежедневники, блокноты (211105)",Блокнот А5 с разноцветными сердечками 80 листов,Тег «vendor» обязательный!
3086540346,"Органайзеры, ежедневники, блокноты (211105)","Блокнот планер на спирали 2025-2026 гг, розовый",Тег «vendor» обязательный!
3089196786,"Игрушечные пистолеты, арбалеты и сабли (2607)",Водяной пистолет для детей 500 мл с большой дальностью стрельбы,Тег «vendor» обязательный!
3106198604,"Органайзеры, ежедневники, блокноты (211105)",Блокнот DLP Industry A5 в линию на спирали с резинкой,Тег «vendor» обязательный!
3106199101,"Органайзеры, ежедневники, блокноты (211105)",Блокнот А5 DLP Industry розовый леопард спиральный 100 страниц,Тег «vendor» обязательный!
3106208113,Солевые грелки (16252405),Грелка INDI Hot Bag 2л - резиновая бутылка для горячей и холодной терапии,Тег «vendor» обязательный!
3106233139,"Органайзеры, ежедневники, блокноты (211105)",Планировщик BTS Agenda 2025-2026 розовый с наклейками,Тег «vendor» обязательный!
3106245530,"Органайзеры, ежедневники, блокноты (211105)",Планировщик BTS Agenda 2025-2026 красный с наклейками,Тег «vendor» обязательный!
3106248466,"Органайзеры, ежедневники, блокноты (211105)","Планер 2025-2026 с ромашками, стикерами и закладками",Тег «vendor» обязательный!
3106256548,"Органайзеры, ежедневники, блокноты (211105)",Стильный планшет формата А5 с блокнотом в линейку зеленый,Тег «vendor» обязательный!
3106258458,"Органайзеры, ежедневники, блокноты (211105)",Стильный планшет формата А5 с блокнотом в линейку розовый,Тег «vendor» обязательный!
3106285084,Рулонные обои (130303),Обои флизелиновые тропические золотые пальмы на черном 10.05&times;0.53м,Тег «vendor» обязательный!
3107044668,"Мангалы, грили и барбекю (1506)",Антипригарный гриль-деко 34x24 см из нержавеющей стали,Тег «vendor» обязательный!
3109243953,Свечи (150404),Ароматизированная свеча Flower Shower в подарочной коробке,Тег «vendor» обязательный!
3125485359,Ручные и налобные фонари (150410),"Светодиодные фонарики Crelando для фонариков/фонарей, 2 шт. Crelando",Тег «vendor» обязательный!
3125516380,Велосипедные камеры и ободные ленты (122203),Continental ContiTube Tour 28 (700C) All D40 - универсальная велосипедная камера 28 дюймов / 700C,Отсутствуют параметры.
